CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,6/27/2014 7:16,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8 Coleman St  Dorchester  MA  02125,7,3,3,C11,Dorchester,8,Ward 15,1504,R3,8 Coleman St,2125,42.30887,-71.06513,Constituent Call
1.01001E+11,7/1/2014 12:23,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,143 Intervale St  Dorchester  MA  02121,7,3,4,B2,Roxbury,13,Ward 14,1401,R3,143 Intervale St,2121,42.30953,-71.07524,Constituent Call
1.01001E+11,12/18/2013 8:51,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,116-118 Whitfield St  Dorchester  MA  02124,8,7,4,B3,Dorchester,9,Ward 17,1703,A,116-118 Whitfield St,2124,42.29344,-71.07528,Constituent Call
1.01001E+11,6/16/2014 11:03,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,366 Centre St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1901,RC,366 Centre St,2130,42.32217,-71.10859,Constituent Call
1.01001E+11,7/17/2014 10:28,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,178 W Seventh St  South Boston  MA  02127,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,603,R3,178 W Seventh St,2127,42.33471,-71.05118,Constituent Call
1.01001E+11,7/21/2014 19:04,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1-3 Imrie Rd  Allston  MA  02134,11,4,9,D14,Allston / Brighton,15,Ward 21,2106,R3,1-3 Imrie Rd,2134,42.3526,-71.13862,Self Service
1.01001E+11,7/3/2013 9:03,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,5 Symphony Rd  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,R4,5 Symphony Rd,2115,42.34288,-71.08694,Constituent Call
1.01001E+11,5/28/2014 15:56,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,318 Princeton St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,109,R3,318 Princeton St,2128,42.38051,-71.02837,Constituent Call
1.01001E+11,5/12/2014 12:08,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,248 Neponset Valley Pkwy  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1820,R1,248 Neponset Valley Pkwy,2136,42.23639,-71.12826,Constituent Call
1.01001E+11,4/25/2014 10:40,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,844 Dorchester Ave  Dorchester  MA  02125,6,3,2,C6,Dorchester,5,Ward 7,708,R3,844 Dorchester Ave,2125,42.32202,-71.05659,Constituent Call
